Wall time,Step,Value
1521746042.8587968,120,0.32806673645973206
1521746049.3860526,140,0.5842083692550659
1521746075.4620464,220,0.8685465455055237
1521746081.976274,240,0.8787381649017334
1521746095.0197608,280,0.8069687485694885
1521746101.5560362,300,0.7497904300689697
1521746108.051222,320,0.7568916082382202
1521746114.5975013,340,0.7707699537277222
1521746121.1247578,360,0.7794436812400818
1521746127.6941226,380,0.7116159796714783
1521746134.2180548,400,0.6770250201225281
1521746140.7772737,420,0.6901931166648865
1521746166.9660933,500,0.6461426615715027
1521746173.4761267,520,0.6448904275894165
1521746225.6941893,680,0.46131113171577454
1521746232.2505865,700,0.501207172870636
1521746245.300993,740,0.4522947072982788
1521746265.1132655,800,0.4973779618740082
1521746271.6295133,820,0.5059055685997009
1521746284.8754427,860,0.3811982572078705
1521746291.4579778,880,0.3338647186756134
1521746297.935123,900,0.31834957003593445
1521746304.411266,920,0.3023566007614136
1521746317.403658,960,0.2918836176395416
1521746330.3781765,1000,0.3069179654121399
1521746336.9032278,1020,0.2906271815299988
1521746356.430798,1080,0.23682793974876404
1521746362.940032,1100,0.2107066810131073
1521746369.416176,1120,0.2725421190261841
1521746375.9153707,1140,0.2449164092540741
1521746382.4195604,1160,0.21859225630760193
1521746402.006338,1220,0.24992071092128754
1521746408.5496283,1240,0.2153603732585907
1521746421.6642873,1280,0.1724732667207718
1521746434.6732512,1320,0.1667822152376175
1521746441.17547,1340,0.14962230622768402
1521746447.6546206,1360,0.1825326681137085
1521746454.2850845,1380,0.1922415941953659
1521746474.0850472,1440,0.23711620271205902
1521746480.7054896,1460,0.2098643183708191
1521746487.3269517,1480,0.1820625513792038
1521746493.9343987,1500,0.18283602595329285
1521746507.0821135,1540,0.2016068547964096
1521746526.6486516,1600,0.20659616589546204
1521746559.436242,1700,0.17913909256458282
1521746565.945468,1720,0.168236643075943
1521746572.535868,1740,0.18724274635314941
1521746579.0821674,1760,0.16553841531276703
1521746585.6715403,1780,0.1658906489610672
1521746592.2549372,1800,0.13559912145137787
1521746625.1222017,1900,0.14492827653884888
